table_id,time_quantum,processes
13,4,"2.1,9.1,9;12.3,9.6,10;13.2,2.5,10;8.4,7.1,6;10.8,5.9,10;12.6,9.1,1;19.2,3.3,10;12.7,3.3,8;14.8,4.2,6;6.9,7.3,9;1.0,4.4,9;2.5,2.5,9;16.5,3.6,9;8.7,2.8,5;5.7,6.1,6;8.3,3.2,6;13.5,1.6,10;10.8,3.7,8;17.0,1.2,8"
14,1,"4.2,0.9,4;0.0,3.1,5;4.7,1.5,3;2.3,0.6,3;4.0,4.4,10;8.0,1.4,2;4.9,4.1,6;1.7,1.4,2;3.0,0.7,7;6.8,3.9,9;9.4,10.9,9;0.7,3.3,3"
15,1,"0.5,9.1,8;4.7,1.5,4;5.2,2.0,9;3.6,1.6,8;5.5,1.0,6;8.8,1.2,10"
16,3,"2.7,1.5,8;6.2,2.8,1;3.3,2.7,8;7.4,2.4,9;8.0,0.9,7;7.7,2.2,8;2.5,1.2,10;3.3,5.6,8;3.9,2.2,8;8.2,2.2,10;4.3,2.3,3;5.4,1.8,2;5.6,3.0,4;8.3,1.4,10;6.9,2.4,2;3.6,1.1,10"
17,5,"0,13.8,7;0,8.1,7;5.1,3.0,4;0,8.8,4;0.3,10.8,3;0,11.0,6;1.6,5.4,4;5.6,4.2,7;1.3,13.8,5;3.8,13.8,6"
18,4,"5.8,6.1,5;4.9,1.3,7;2.3,2.9,3;1.8,4.1,5;6.4,2.9,3;0.2,3.0,10;7.2,0.6,1;6.1,2.7,5;6.9,5.0,6;7.7,3.0,10;2.9,5.0,10;7.4,0.8,6"
19,2,"19.5,7.8,1;2.0,5.9,5;12.3,8.5,6;7.4,1.7,5;5.2,8.7,6"
20,1,"10.3,9.8,5;9.0,2.3,7;15.4,4.4,8;15.3,3.2,10;10.6,4.2,9;7.9,2.3,1;6.2,4.1,5;3.0,1.0,7;0.9,4.6,8;8.5,6.1,6;12.7,5.8,7;8.0,3.6,10;19.3,3.7,6;13.4,2.9,8"
21,3,"5.4,5.1,8;5.5,3.6,3;1.9,2.2,3;8.4,1.1,6;8.8,0.9,10;4.0,1.2,2;5.2,0.9,8;2.0,1.9,3;5.7,1.3,8;7.9,3.6,3;8.4,3.0,9;4.8,0.5,1"
22,,"0,6.3,5;0,5.8,5;0,6.1,5;0,5.9,5;0,6.1,5;0,5.6,5;0,6.3,5;0,6.0,5;0,5.8,5"
23,4,"6.2,1.5,3;6.6,9.7,7;2.1,1.2,3;3.1,2.3,6;4.1,4.3,3;6.0,7.6,5;1.0,14.4,4;6.4,3.6,6;4.6,5.4,7;3.0,2.0,4;7.6,7.1,6;3.9,1.4,7;7.9,14.1,7;1.1,1.1,4;2.9,5.9,5"
24,3,"1.6,0.8,8;0.7,3.3,7;3.3,1.8,9;9.2,0.9,6;7.1,1.8,2"
25,2,"4.1,7.8,7;4.6,1.5,3;5.7,4.7,4;5.3,9.1,6;5.2,13.9,5;4.2,2.8,7;2.8,7.5,6;3.4,13.0,7;1.7,3.9,4;4.0,4.2,3;2.0,3.7,3;2.0,3.5,6;0.9,4.1,7;2.9,5.0,5;1.1,12.8,3;3.3,4.1,5;0.4,2.0,3;0.1,6.4,5;2.0,5.0,5"
26,5,"0,2.7,3;2.9,2.0,3;0.5,10.2,5;2.8,5.6,5;0.2,11.8,7;0,5.4,7;2.4,9.0,6;0,14.1,3;3.4,10.8,6;5.5,13.3,6;4.4,4.4,7;2.8,12.9,5;0,7.5,4;0,12.7,4;0.4,7.5,6"
27,4,"11.1,9.4,5;19.5,7.3,7;6.3,8.2,8;1.9,1.7,6;13.5,4.1,10;9.7,6.1,9;19.6,5.8,5;16.5,8.9,5;19.3,7.8,5;10.5,9.7,5;8.9,5.8,8;5.3,1.8,1;5.9,1.0,7;0.8,6.7,6;4.3,9.4,5;10.2,2.3,7;13.6,4.7,9;0.3,1.5,10;1.9,9.6,9;19.4,3.1,8"
28,2,"4.0,9.0,8;6.8,2.0,1;8.5,5.0,9;10.0,7.8,8;18.2,2.2,8;4.5,1.1,6;13.2,7.8,7;2.2,7.4,5;16.1,3.1,8"
29,2,"7.7,4.5,10;3.1,3.0,10;7.7,5.8,10;1.0,9.8,5;5.5,1.4,1;4.2,2.2,8;9.0,1.8,3;8.5,2.8,7;1.8,0.5,5;1.7,3.1,6;9.1,6.3,5;0.0,0.9,5;5.6,6.5,7;3.0,0.5,2;7.6,1.3,8;4.0,5.2,5;0.2,0.6,2;4.1,2.2,7;5.6,3.5,6"
30,,"0,12.4,5;0,12.5,5;0,12.0,5;0,12.7,5;0,11.5,5;0,12.7,5;0,13.6,5;0,11.7,5;0,12.3,5;0,13.6,5;0,13.6,5;0,12.2,5;0,12.6,5;0,11.2,5"
31,2,"0.3,9.4,7;8.4,3.2,10;10.2,4.1,9;1.9,2.9,8;19.1,3.6,8;5.2,3.5,5;10.6,2.8,1;10.6,2.4,6;11.7,4.2,7;5.4,3.4,5;5.3,3.4,10;5.0,6.1,7;9.8,4.5,9;0.3,8.1,10;14.7,3.8,6;18.2,9.9,6"
32,5,"2.4,13.9,5;1.7,13.3,5;0,13.4,6;0,6.4,3;0,4.8,7;0,9.0,7;0.6,7.7,6;0.5,14.7,4;0,5.6,7;1.3,8.3,5;1.5,13.5,4;0,8.6,3;0,11.0,6;0.8,4.9,4;0,12.6,4"
33,5,"0,9.1,3;0.7,6.8,6;2.3,10.7,3;0.9,1.3,4;2.5,1.7,5;0.4,9.9,4;3.6,10.3,7"
34,1,"3.5,2.2,9;7.9,2.2,3;0.6,6.1,6;2.5,1.2,2;0.4,0.6,8;5.0,3.1,5;1.9,0.9,3;5.8,1.9,7;6.3,5.7,8;6.1,1.6,7;2.8,4.2,5;9.0,1.1,3"
35,1,"7.2,6.1,2;1.9,1.2,7;4.6,6.7,7;1.6,1.4,6;1.5,4.5,10;5.9,0.8,5;3.2,2.6,7;7.6,2.2,3;2.6,3.1,2;9.3,4.1,10;7.3,2.8,9;6.4,0.7,3;7.3,5.2,4;5.5,0.6,10;6.6,2.1,8;0.3,0.9,9;9.9,1.3,1;8.7,0.9,6;1.8,4.8,5;6.4,2.3,7"
36,5,"3.3,11.9,5;1.2,4.3,6;0,7.5,5;0.7,13.8,5;0,14.6,6;0,13.5,6;0,7.6,7"
37,4,"4.1,1.8,9;7.7,3.8,6;0.3,1.0,1;6.0,1.5,8;8.9,1.2,5;9.8,3.1,2;5.0,3.2,8;7.0,0.7,8"
38,3,"6.9,8.0,5;11.1,7.7,5;16.1,1.7,9;2.7,3.3,9;2.1,9.4,7;18.4,2.2,5;1.5,1.6,7;18.8,8.3,9;1.5,1.5,8;16.8,1.8,1;7.6,8.8,6;16.5,5.7,8"
39,4,"13.6,6.1,9;15.3,5.0,1;14.9,4.0,10;9.0,9.5,10;9.9,6.3,10;15.9,2.9,10;3.6,3.3,9;18.1,2.3,6"
40,,"0,10.0,5;0,10.0,5;0,8.4,5;0,10.1,5;0,9.0,5;0,9.6,5;0,9.0,5"
41,3,"9.4,0.6,3;8.1,1.4,1;4.4,2.6,10;4.3,2.8,4;6.5,0.5,4;8.7,1.3,2;3.8,5.1,5;2.1,1.8,9;0.4,2.5,2;6.4,2.0,9;1.6,0.5,4;2.6,0.7,5;8.7,0.9,7;0.5,3.3,8"
42,2,"0.5,2.6,3;7.0,2.0,4;3.9,4.6,3;9.3,0.5,3;6.0,4.3,10;4.2,1.0,5;3.1,3.0,2;6.1,0.7,4;8.9,6.2,6;4.8,3.1,2;2.6,5.5,1;0.8,1.6,9;2.1,0.6,2;4.7,0.6,3;0.1,1.1,3"
43,3,"8.3,1.8,7;5.9,2.0,9;9.7,0.7,4;7.1,3.3,8;4.1,1.9,2;5.1,2.2,7;7.0,2.0,2;2.9,2.1,3;3.8,3.5,6;5.5,2.3,3;6.5,1.6,8"
44,5,"3.1,14.6,7;0,1.6,5;4.3,4.9,3;0,11.1,6;0.9,3.6,3;0.7,10.1,3;0,4.0,4;0,14.8,7;0,4.4,7;1.6,7.8,3;0,2.1,3;2.1,7.9,6;0,1.1,3"
45,1,"4.6,4.3,8;16.9,6.2,1;4.6,4.9,9;11.2,2.9,5;11.4,2.0,9;9.5,6.4,10;13.8,9.9,5;10.4,4.8,5;12.2,5.2,10;1.1,4.9,5;8.6,5.4,7;13.3,8.9,8;9.4,2.3,5;1.5,4.7,8"
46,3,"0.6,13.1,5;1.9,13.1,5;1.3,5.2,7;0,12.1,4;0,5.2,6;0.3,9.8,6;4.1,3.5,4;0,12.6,3;1.0,2.2,5;3.2,3.1,4;3.8,3.0,7;2.2,13.1,3;0.9,9.4,3;0,11.6,7"
47,4,"2.3,2.1,10;1.2,4.9,6;6.1,1.5,1;8.3,1.1,2;4.0,1.8,2"
48,1,"5.8,4.3,2;0.6,2.8,9;8.0,0.8,10;0.6,4.7,8"
49,4,"5.6,1.1,3;7.0,3.8,8;0.5,1.2,7;9.1,2.4,5;2.0,1.4,3;8.5,1.0,10;9.5,2.4,10;6.3,5.9,8;6.1,1.6,4;6.9,1.6,10;5.0,2.6,2;6.5,0.7,2;6.6,4.8,5;0.6,0.7,4"
50,4,"2.0,14.7,4;0,14.0,4;0,2.4,7;2.2,7.6,5;1.6,11.3,3;0,6.9,7;0,1.3,4;2.8,7.2,3;0.4,12.4,6;0,13.0,6;0,14.9,3;0,10.7,6;3.2,5.8,6;0,5.7,6;4.5,8.8,7;0.2,10.2,4;0,2.3,7;0,9.2,4;0,1.1,3"
51,4,"7.2,3.0,6;0.1,0.7,8;3.5,2.2,2;2.3,0.7,7;3.6,2.4,7;5.0,2.2,5;9.1,0.9,4"
52,,"0,8.9,5;0,8.2,5;0,9.6,5;0,9.2,5;0,9.1,5;0,9.9,5;0,9.8,5;0,9.1,5;0,9.3,5;0,8.9,5;0,8.8,5;0,9.6,5"
53,4,"3.5,11.9,4;3.7,4.6,5;2.6,10.6,7;5.1,5.5,4;3.2,7.3,5;0.1,7.5,5;4.6,10.0,3;0,3.0,4;0,14.7,6;3.7,3.6,7;0.8,7.9,5;6.5,13.7,7;3.1,9.9,3;2.8,5.9,6;5.9,6.8,7;5.5,12.5,4;1.0,4.3,6;3.3,4.6,5;3.3,8.7,4;3.6,13.7,4"
54,4,"9.2,1.2,9;3.3,4.3,6;0.2,6.2,9;3.1,0.6,5;7.6,3.3,7;0.9,2.8,8;0.0,5.6,5;9.7,1.1,6;3.7,4.8,2"
55,3,"0.3,2.4,5;0.3,4.8,6;6.0,0.6,7;2.5,0.7,1;1.4,1.6,5;7.1,0.7,4;9.3,5.7,2;2.9,0.6,2;8.2,0.9,5;5.1,4.2,1;3.0,4.9,6;7.3,0.6,3;8.3,3.6,1;6.9,2.1,5;1.0,2.2,9;7.7,6.1,4;6.7,0.6,3;6.6,2.7,1"
56,2,"0.6,1.8,8;7.8,2.8,2;1.6,1.6,1;1.7,2.3,5;3.3,0.8,9;3.3,0.9,6;8.9,2.5,7;3.0,0.6,5;2.1,1.5,7"
57,2,"4.7,3.0,2;0.5,1.4,7;2.3,1.6,5;1.5,6.3,4;1.6,5.5,2;9.3,3.2,9;1.1,1.0,5;9.2,1.0,4;1.5,4.8,1;7.8,0.7,9;1.5,0.5,1;6.9,0.9,5;8.2,2.0,1;6.4,2.6,4;2.9,3.3,8;7.2,1.3,4;5.8,0.8,2;6.0,0.8,8;2.9,2.0,6"
58,1,"5.6,2.9,7;1.2,3.9,8;4.6,2.4,9;4.4,1.7,9"
59,2,"7.8,0.6,2;7.0,6.8,4;9.9,1.0,1;5.2,2.7,5;3.0,1.2,4;3.8,2.6,8;8.8,10.0,3;1.5,3.0,3"
60,1,"9.7,3.8,8;16.9,8.5,1;12.5,3.2,6;12.9,9.6,7;7.4,4.3,8;16.2,3.6,6;0.1,2.0,9"
61,4,"4.1,14.6,5;8.9,5.8,5;9.2,9.9,6;2.0,3.3,7;2.8,13.9,7"
62,5,"0.6,9.4,7;0.6,5.7,3;0.6,8.0,4;1.5,14.2,3;2.1,12.1,6;1.4,4.4,3;0,13.0,3;0.1,10.2,3;1.6,4.2,6;1.6,13.0,4;4.2,2.0,4;1.0,9.0,4;2.1,2.3,3;0,14.9,7"
63,3,"3.2,2.5,1;3.7,0.6,4;10.0,0.5,6;7.0,8.4,5;0.0,4.6,3;2.4,0.6,2;1.2,2.3,7;0.3,0.7,7;0.4,2.4,3;8.5,1.6,6;2.6,2.3,4;4.6,0.8,4;6.1,1.8,1;5.3,7.6,8;5.9,0.6,4"
64,2,"4.0,11.0,7;7.0,6.7,6;4.1,7.3,7;0.2,10.9,4;3.7,4.0,7;0,7.6,5"
65,3,"3.3,7.4,9;9.3,7.1,9;5.0,0.9,6;4.0,0.6,8;6.9,0.7,6;8.3,2.2,1;7.1,0.5,4;7.7,1.7,4;1.3,5.3,10;9.7,3.7,10;5.7,0.8,4;2.7,0.8,2;5.5,9.7,3;7.8,2.7,7;4.1,2.3,4"
66,2,"5.9,1.3,2;2.7,3.0,8;3.1,9.3,7;0.3,1.1,6;3.7,5.3,3;4.8,4.7,7;4.0,0.6,9;9.2,1.9,1;5.4,2.6,9;8.5,3.3,9;5.6,2.6,5;5.2,3.6,1;4.0,0.6,1;9.2,1.1,10;2.6,0.9,7;3.2,2.4,3;1.4,3.5,2;3.9,2.8,5;3.7,1.7,3"
67,2,"5.9,9.0,4;4.2,12.6,7;2.9,10.1,6;6.8,11.5,7;7.0,8.0,4;3.4,13.5,5;2.6,2.6,3;7.1,10.3,4;4.3,14.3,5;5.5,4.4,7;4.9,12.5,4;2.5,14.6,4;5.5,7.4,7;1.9,5.3,4;6.1,1.3,3;4.4,8.6,3"
68,4,"11.0,3.6,1;19.2,8.3,5;2.9,6.6,10;7.3,1.1,5;17.6,8.2,6;6.8,2.0,8;17.5,3.2,7;18.4,4.1,8;18.4,1.1,5;12.0,9.3,8;19.3,1.4,6;14.4,9.6,9;5.2,6.9,5;20.0,6.8,10;9.7,3.9,5;11.6,2.3,8;5.9,8.4,7;4.2,2.6,10;3.7,6.3,8"
69,,"0,10.6,5;0,10.4,5;0,10.8,5;0,11.1,5;0,11.0,5;0,11.6,5;0,10.7,5;0,10.8,5;0,10.8,5;0,10.8,5;0,11.3,5;0,11.0,5;0,10.8,5;0,10.1,5;0,10.9,5"
70,5,"0.1,8.7,6;1.6,12.1,5;2.4,7.6,3;0,1.4,5;4.3,10.4,3;2.4,13.6,7;4.1,11.5,3;6.3,12.9,3;2.8,3.2,7;1.8,3.9,4"
71,3,"3.2,11.8,5;1.6,4.7,7;3.6,12.0,5;2.4,4.9,5;2.3,12.2,3;2.2,4.7,4"
72,2,"3.5,0.7,9;0.7,1.3,10;8.9,4.7,9;1.2,2.1,9;3.5,4.8,6;7.4,1.5,7;0.1,1.9,4;8.8,0.8,2;0.5,1.1,4;6.0,1.4,4;9.5,2.9,2;1.4,6.1,4;0.5,8.1,9;3.7,1.3,3;6.6,1.7,2;2.8,7.0,10;3.5,0.6,1;5.0,6.4,10"
73,5,"1.6,10.1,3;1.5,8.4,6;3.3,10.5,5;2.0,4.6,3;1.4,11.2,4;0.1,1.5,7;3.5,2.8,3;1.0,13.5,7;4.6,10.1,6;4.4,2.6,3;2.5,6.2,7;1.6,2.2,7;3.5,7.8,5;2.3,9.5,7;0.0,4.8,3;0.7,6.7,5"
74,2,"0.3,12.2,3;3.8,10.3,6;0,1.0,6;5.7,1.0,5;0,3.4,7;1.7,4.8,3;0.4,11.6,4;1.1,4.6,6;0,13.2,3"
75,2,"2.6,1.2,4;2.5,3.3,6;9.7,1.3,8;3.8,3.2,1;5.7,1.1,9;4.3,5.7,2;2.7,1.1,1;2.5,5.1,4;9.2,1.4,5"
76,,"0,5.5,5;0,5.7,5;0,5.3,5;0,5.2,5;0,4.8,5;0,5.5,5;0,5.1,5;0,5.4,5"
77,3,"2.6,6.3,6;7.5,11.7,4;4.5,13.8,7;3.7,4.5,4;0,2.2,7;5.4,4.1,3;0.4,9.2,3;3.0,11.4,6;3.3,3.8,3;0.7,12.6,3;4.4,4.0,4;0.2,4.7,4;2.2,7.7,4"
78,4,"4.3,6.7,9;6.4,2.9,2;8.6,0.7,5;7.0,1.6,10;7.1,1.6,3;5.6,1.3,8;1.7,3.2,2;3.8,0.8,2;3.5,1.3,10"
79,2,"6.3,0.7,6;7.8,3.3,3;9.5,2.9,7;1.6,1.3,3;5.3,2.4,3;10.0,1.2,4;5.4,0.6,2;7.4,3.1,9;4.0,0.7,6;4.2,0.9,7;0.7,1.3,7;1.9,0.8,10;3.6,1.4,9;7.9,1.8,4;4.0,0.8,7;8.0,1.8,7;3.2,0.5,9"
80,3,"7.3,5.8,9;16.9,6.5,1;17.0,10.0,10;11.2,6.4,9;6.2,3.9,6;12.3,4.9,10;4.2,9.9,8"
81,4,"4.0,2.0,5;2.2,0.6,4;0.4,0.8,1;3.6,3.1,4;5.5,0.9,9;4.8,0.5,6;7.0,2.3,3;4.3,8.6,1;4.2,3.3,3;2.1,0.9,9"
82,2,"7.3,0.6,3;2.8,0.8,7;4.5,1.5,3;9.2,1.0,7;0.8,1.5,5"
83,1,"6.4,0.8,9;5.3,3.4,6;0.5,1.2,5;6.0,2.3,10;10.0,2.4,5;6.5,2.5,5;6.2,1.0,9;5.0,1.0,4;4.7,0.9,8;9.8,0.9,10;9.9,2.1,10;0.2,2.0,4;5.1,1.9,4"
84,4,"5.9,4.9,1;3.1,5.7,3;2.9,1.8,2;3.6,3.3,5;8.6,13.6,9;6.7,0.5,8;2.3,5.3,4;3.3,0.7,7;4.7,7.5,9;5.4,3.3,6;2.2,5.3,9;5.7,0.9,10;1.8,12.2,8;3.7,1.2,2;8.2,0.6,3;5.4,1.0,1;0.1,0.8,2;7.7,1.3,6;8.0,6.3,8;1.8,0.8,1"
85,4,"7.9,1.0,7;2.7,5.4,2;4.7,3.2,6;2.5,0.8,8;3.4,2.0,2;6.6,4.1,10;5.4,5.9,8;8.4,0.6,4;3.0,3.8,7;9.8,1.2,3;5.2,3.0,2;6.0,0.5,9"
86,,"0,14.2,5;0,13.9,5;0,13.9,5;0,12.5,5;0,13.4,5;0,13.4,5;0,12.5,5;0,13.7,5;0,13.4,5;0,13.1,5;0,11.8,5;0,14.1,5"
87,4,"5.8,7.3,9;6.8,3.6,1;15.0,6.1,10;15.3,5.0,9;7.4,9.8,5;15.8,9.6,9;9.3,9.1,5;10.3,10.0,8;14.2,2.5,7;2.3,8.3,8;7.1,4.3,5;8.3,5.4,7;15.7,9.3,10;19.9,6.4,5;4.1,9.8,7;9.9,4.2,6"
88,5,"4.9,8.8,6;1.9,7.4,6;6.0,3.5,6;5.2,8.5,3;0,10.3,3;5.2,7.5,4;1.8,13.6,6;4.1,11.7,6;6.0,8.9,7;3.7,13.3,4;4.5,3.4,6;1.9,9.7,6;5.7,8.4,5;2.8,3.0,5;2.6,11.1,3;3.3,8.8,6;6.0,11.6,5;4.5,12.7,4"
89,3,"2.5,0.8,5;0.0,1.8,10;6.1,3.9,10;5.5,0.9,4;3.9,0.9,5;2.3,0.7,6;0.1,2.0,7;5.9,2.3,8;7.0,2.4,4;0.8,1.0,2;8.9,3.4,2;9.2,0.6,1"
90,3,"4.9,4.6,10;19.3,6.7,6;6.9,2.2,1;9.1,4.7,7;14.8,5.0,7;10.7,6.6,9;16.6,3.0,7;7.3,9.1,6"
91,,"0,7.5,5;0,7.9,5;0,7.0,5;0,8.0,5;0,7.4,5;0,7.5,5;0,7.8,5;0,7.9,5;0,7.2,5;0,8.0,5;0,7.6,5"
92,,"0,6.3,5;0,6.1,5;0,6.0,5;0,6.0,5;0,6.2,5;0,5.4,5;0,5.7,5;0,5.6,5;0,5.4,5;0,5.5,5;0,6.0,5;0,5.8,5;0,6.0,5;0,5.4,5;0,5.7,5;0,6.1,5;0,5.3,5"
93,1,"1.6,2.9,7;9.0,2.4,9;9.4,0.7,2;9.8,1.2,5;0.6,3.4,10;4.8,2.9,4;6.2,2.0,8;0.0,0.5,1;3.7,2.9,6;4.2,2.4,6;1.8,0.6,8;6.2,6.4,7;5.6,1.6,6"
94,2,"6.4,2.4,10;3.1,0.9,3;5.7,0.6,3;7.0,0.8,5;2.3,6.9,3;9.1,3.5,1;0.6,1.5,3;5.0,4.4,6;9.5,2.0,9;1.7,0.6,2"
95,2,"5.1,0.6,6;6.6,1.2,5;3.8,3.9,7;2.7,0.8,8;5.5,0.9,9;2.9,1.6,10;2.9,4.8,7;3.0,0.7,9;6.3,0.8,3;9.4,0.6,4;9.8,1.2,1;6.2,0.8,9;7.4,4.3,7;5.0,1.8,7;4.1,2.2,3"
96,2,"8.2,6.0,7;19.9,8.5,8;17.8,6.5,8;19.8,7.0,1;2.3,1.3,5;3.3,2.0,9;2.4,8.9,7;19.5,7.8,8;0.4,7.4,10;19.8,6.6,5;6.8,8.5,9;18.7,1.3,5;14.7,7.8,7;13.7,4.7,5;8.9,2.3,6;14.5,9.5,5;18.2,8.5,7;10.5,1.8,5"
97,3,"0.5,4.1,5;2.0,3.6,4;0,2.2,4;0,10.2,7;0,3.8,4;2.8,6.1,5;2.6,12.4,5;1.1,12.4,7;2.5,4.8,5;0.7,14.4,5;0.6,7.5,5;2.7,6.1,6"
98,4,"13.5,2.3,7;15.3,5.2,6;4.2,3.6,7;15.2,2.0,6;15.3,4.4,5;13.4,3.4,6;9.4,6.2,5;14.4,8.2,9;6.9,2.9,1;9.9,4.7,7;3.2,4.6,8;3.5,4.2,9;10.0,3.9,9;7.6,9.4,7;7.5,5.8,10;19.0,3.4,5"
99,1,"7.1,3.1,1;6.1,0.7,1;2.6,2.5,5;1.8,1.5,6;1.2,2.6,8;6.8,2.7,8;0.8,0.7,5;6.2,0.5,8;7.9,2.1,10;7.9,1.6,8;7.1,0.9,9;3.6,0.9,9;8.5,4.4,8;0.5,1.3,3;5.9,0.6,2;8.9,3.0,1;5.8,2.6,5;7.8,2.9,5"
100,2,"5.5,3.6,4;4.3,0.8,6;8.9,5.9,5;8.0,4.0,9;8.2,0.6,4;3.8,1.1,5;8.6,3.4,6;6.4,3.4,8;3.2,1.1,1;6.3,1.2,7;5.5,3.3,4;3.4,1.5,4"
101,2,"3.0,4.2,4;0.9,1.8,10;2.9,1.1,7;4.9,1.4,5;0.3,2.3,2;1.6,1.8,5;1.4,1.2,1;1.8,2.4,6;6.0,0.8,6;2.8,3.7,5;7.3,1.5,4;0.3,2.8,6;4.5,9.0,7"
102,1,"8.6,0.9,2;5.6,0.8,3;4.4,3.2,4;8.6,3.0,6;5.0,1.9,8;2.7,2.9,9;3.6,1.6,2"
103,5,"1.9,2.1,4;1.9,3.0,4;0.8,8.2,4;4.9,6.3,5;1.8,9.0,4;0,6.9,7;3.0,13.0,3;1.4,7.2,6;3.5,6.7,4;0.6,8.2,7;4.2,12.9,7;2.5,11.5,7;0,14.7,4;1.8,8.7,6;4.7,6.0,4;1.6,3.2,6;6.1,14.8,4;4.6,1.9,5;4.2,6.7,6"
104,5,"5.2,9.0,7;5.8,5.4,5;4.6,10.9,7;3.4,10.2,3"
105,4,"16.6,3.7,7;9.2,4.9,9;13.5,8.4,9;9.3,4.2,9;10.1,7.7,8;12.3,2.6,8;2.3,9.7,5;1.9,9.9,1;9.6,5.8,5"
106,,"0,13.1,5;0,14.7,5;0,13.6,5;0,13.9,5;0,14.9,5;0,14.1,5;0,13.5,5;0,13.5,5;0,13.9,5;0,13.4,5;0,15.1,5;0,13.4,5;0,15.4,5"
107,1,"13.8,6.0,10;7.7,7.5,8;4.3,4.4,1;11.6,4.5,6;12.3,7.7,8;15.5,6.9,6;6.1,4.9,7;0.4,4.9,5;15.8,7.0,5;13.4,6.9,6;10.7,4.2,6;4.8,9.1,7;12.1,8.1,10;19.7,8.5,7"
108,3,"3.4,12.3,5;5.0,9.7,5;3.5,2.1,6;4.1,13.7,3;6.9,10.0,4;6.2,13.5,3;4.5,6.4,6;4.1,3.6,6;4.4,11.4,4;4.7,1.7,7;2.1,3.8,6;3.8,11.7,5;4.3,4.3,4;4.4,13.4,4;6.7,14.6,5;4.1,12.3,4;5.0,10.0,4;4.7,8.8,5"
109,2,"4.2,5.5,7;7.3,2.1,10;1.6,7.9,5;0.2,2.5,9;1.7,4.1,8;5.2,0.9,10;7.0,0.5,1;1.0,1.1,3;7.4,1.9,1;8.1,1.0,8;4.6,0.8,9;7.9,1.5,2;6.4,1.6,8;1.5,4.7,6;7.8,0.8,10;1.8,0.7,1"
110,3,"9.3,2.5,7;0.4,6.3,7;17.0,5.6,8;4.5,2.8,9;0.7,5.0,5;2.8,7.8,1"
111,4,"4.8,6.3,7;2.8,3.6,7;15.8,3.9,7;15.0,1.3,7;1.9,3.0,7;13.0,5.1,1;4.2,1.7,9;1.1,10.0,7;15.5,6.6,8;4.0,4.3,8;3.6,6.8,5;5.4,2.4,6;12.2,4.2,10;11.8,5.1,6;3.4,2.6,5;2.1,5.7,9;18.1,4.7,8;14.6,5.1,6"
